customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,city,city_tier
CUST00218,531,1,1226.79,1,1,1,3,Lost,Ahmedabad,Tier 1
CUST00219,280,5,7807.959999999999,3,5,5,13,Potential Loyalists,Pune,Tier 1
CUST00220,21,1,1374.55,5,1,2,8,New Customers,Nagpur,Tier 2
CUST00221,44,3,3851.62,5,4,3,12,Loyal Customers,Pune,Tier 1
CUST00222,100,3,5904.83,4,4,4,12,Champions,Kolkata,Tier 1
CUST00223,554,1,3322.98,1,1,3,5,Hibernating,Mumbai,Tier 1
CUST00224,95,2,2988.9500000000003,4,3,3,10,Loyal Customers,Hyderabad,Tier 1
CUST00225,445,1,1104.56,2,1,1,4,Lost,Bengaluru,Tier 1
CUST00226,340,4,11183.25,2,5,5,12,At Risk (High Value),Delhi,Tier 1
CUST00228,224,3,8651.6,3,4,5,12,Potential Loyalists,Hyderabad,Tier 1
CUST00229,552,3,6791.339999999999,1,4,5,10,At Risk (High Value),Coimbatore,Tier 2
CUST00230,499,2,2511.61,1,3,2,6,Hibernating,Kolkata,Tier 1
CUST00231,74,2,4325.23,5,3,4,12,Loyal Customers,Lucknow,Tier 2
CUST00232,107,3,4339.77,4,4,4,12,Champions,Chennai,Tier 1
CUST00234,336,1,3603.03,3,1,3,7,Need Attention,Chennai,Tier 1
CUST00235,116,2,1219.33,4,3,1,8,Loyal Customers,Delhi,Tier 1
CUST00236,65,3,6559.15,5,4,4,13,Champions,Ahmedabad,Tier 1
CUST00237,122,2,4531.97,4,3,4,11,Loyal Customers,Bengaluru,Tier 1
CUST00238,19,3,6616.83,5,4,4,13,Champions,Mumbai,Tier 1
CUST00239,228,4,4393.89,3,5,4,12,Potential Loyalists,Pune,Tier 1
CUST00240,80,1,3786.22,4,1,3,8,New Customers,Delhi,Tier 1
CUST00242,241,1,1195.35,3,1,1,5,Need Attention,Nashik,Tier 2
CUST00243,170,3,8083.17,4,4,5,13,Champions,Visakhapatnam,Tier 2
CUST00244,279,4,9428.68,3,5,5,13,Potential Loyalists,Hyderabad,Tier 1
CUST00245,290,1,2230.19,3,1,2,6,Need Attention,Mumbai,Tier 1
CUST00246,588,1,2432.24,1,1,2,4,Lost,Patna,Tier 2
CUST00247,30,3,5349.22,5,4,4,13,Champions,Hyderabad,Tier 1
CUST00248,582,3,7606.99,1,4,5,10,At Risk (High Value),Ranchi,Tier 3
CUST00249,481,1,2590.33,2,1,2,5,Lost,Guwahati,Tier 3
CUST00250,467,2,5012.43,2,3,4,9,Hibernating,Indore,Tier 2
CUST00251,380,1,1637.83,2,1,2,5,Lost,Bengaluru,Tier 1
CUST00252,467,1,287.26,2,1,1,4,Lost,Hyderabad,Tier 1
CUST00253,302,2,861.9000000000001,3,3,1,7,Potential Loyalists,Nagpur,Tier 2
CUST00254,438,1,972.38,2,1,1,4,Lost,Bengaluru,Tier 1
CUST00255,187,3,7866.459999999999,4,4,5,13,Champions,Delhi,Tier 1
CUST00256,197,1,1030.98,4,1,1,6,New Customers,Chennai,Tier 1
CUST00257,373,6,6366.8,2,5,4,11,At Risk (High Value),Vadodara,Tier 2
CUST00258,17,3,7290.1,5,4,5,14,Champions,Pune,Tier 1
CUST00259,297,1,295.02,3,1,1,5,Need Attention,Kolkata,Tier 1
CUST00261,613,2,2369.81,1,3,2,6,Hibernating,Kolkata,Tier 1
CUST00262,57,4,3373.34,5,5,3,13,Loyal Customers,Varanasi,Tier 3
CUST00263,360,1,1737.27,2,1,2,5,Lost,Delhi,Tier 1
CUST00264,47,1,387.16,5,1,1,7,New Customers,Chennai,Tier 1
CUST00265,424,1,815.22,2,1,1,4,Lost,Bhopal,Tier 2
CUST00266,279,2,2686.27,3,3,3,9,Potential Loyalists,Ahmedabad,Tier 1
CUST00268,482,3,3337.78,2,4,3,9,Hibernating,Pune,Tier 1
CUST00269,468,3,6402.16,2,4,4,10,At Risk (High Value),Bengaluru,Tier 1
CUST00270,96,2,7119.63,4,3,5,12,Loyal Customers,Bengaluru,Tier 1
CUST00271,302,3,6041.15,3,4,4,11,Potential Loyalists,Lucknow,Tier 2
CUST00272,68,2,3611.6899999999996,5,3,3,11,Loyal Customers,Lucknow,Tier 2
CUST00273,106,4,4424.2,4,5,4,13,Champions,Indore,Tier 2
CUST00275,84,2,3579.42,4,3,3,10,Loyal Customers,Chennai,Tier 1
CUST00276,76,1,4955.21,5,1,4,10,New Customers,Chennai,Tier 1
CUST00277,651,2,2592.2799999999997,1,3,2,6,Hibernating,Lucknow,Tier 2
CUST00278,351,1,704.65,2,1,1,4,Lost,Pune,Tier 1
CUST00279,44,1,588.27,5,1,1,7,New Customers,Pune,Tier 1
CUST00280,603,3,5707.83,1,4,4,9,At Risk (High Value),Lucknow,Tier 2
CUST00281,204,1,1641.22,3,1,2,6,Need Attention,Coimbatore,Tier 2
CUST00282,3,6,7571.610000000001,5,5,5,15,Champions,Bengaluru,Tier 1
CUST00284,240,1,706.12,3,1,1,5,Need Attention,Mumbai,Tier 1
CUST00285,189,2,4002.7400000000002,4,3,3,10,Loyal Customers,Kolkata,Tier 1
CUST00288,651,1,3929.74,1,1,3,5,Hibernating,Chennai,Tier 1
CUST00289,638,1,291.84,1,1,1,3,Lost,Bengaluru,Tier 1
CUST00291,156,3,5042.8,4,4,4,12,Champions,Mumbai,Tier 1
CUST00293,671,1,1284.44,1,1,1,3,Lost,Surat,Tier 2
CUST00294,345,2,2688.78,2,3,3,8,Hibernating,Bengaluru,Tier 1
CUST00295,11,2,2169.04,5,3,2,10,Loyal Customers,Mumbai,Tier 1
CUST00296,653,1,446.17,1,1,1,3,Lost,Chennai,Tier 1
CUST00297,294,3,6648.32,3,4,4,11,Potential Loyalists,Jaipur,Tier 2
CUST00299,133,4,4326.56,4,5,4,13,Champions,Kolkata,Tier 1
CUST00300,309,4,7151.33,3,5,5,13,Potential Loyalists,Mumbai,Tier 1
CUST00301,317,3,4824.83,3,4,4,11,Potential Loyalists,Mumbai,Tier 1
CUST00302,119,7,14775.61,4,5,5,14,Champions,Chennai,Tier 1
CUST00303,95,1,201.76,4,1,1,6,New Customers,Chennai,Tier 1
CUST00304,239,1,1949.52,3,1,2,6,Need Attention,Kolkata,Tier 1
CUST00305,108,3,2812.84,4,4,3,11,Loyal Customers,Ahmedabad,Tier 1
CUST00306,525,3,5910.66,1,4,4,9,At Risk (High Value),Mysuru,Tier 3
CUST00308,393,1,291.03,2,1,1,4,Lost,Bengaluru,Tier 1
CUST00309,350,1,1475.54,2,1,2,5,Lost,Lucknow,Tier 2
CUST00310,50,2,3401.4300000000003,5,3,3,11,Loyal Customers,Bengaluru,Tier 1
CUST00311,20,3,4061.48,5,4,3,12,Loyal Customers,Hyderabad,Tier 1
CUST00312,212,3,6488.84,3,4,4,11,Potential Loyalists,Mumbai,Tier 1
CUST00313,631,2,1669.73,1,3,2,6,Hibernating,Mumbai,Tier 1
CUST00314,184,2,6652.71,4,3,4,11,Loyal Customers,Guwahati,Tier 3
CUST00316,403,1,793.22,2,1,1,4,Lost,Pune,Tier 1
CUST00317,629,2,5618.120000000001,1,3,4,8,Hibernating,Hyderabad,Tier 1
CUST00318,88,8,15767.98,4,5,5,14,Champions,Delhi,Tier 1
CUST00319,15,2,866.81,5,3,1,9,Loyal Customers,Delhi,Tier 1
CUST00320,115,1,1218.75,4,1,1,6,New Customers,Delhi,Tier 1
CUST00321,35,1,939.3,5,1,1,7,New Customers,Chennai,Tier 1
CUST00322,553,4,8666.56,1,5,5,11,At Risk (High Value),Ahmedabad,Tier 1
CUST00323,16,2,4884.82,5,3,4,12,Loyal Customers,Pune,Tier 1
CUST00325,447,2,363.59000000000003,2,3,1,6,Hibernating,Nashik,Tier 2
CUST00326,512,1,1436.64,1,1,2,4,Lost,Ahmedabad,Tier 1
CUST00329,546,1,807.18,1,1,1,3,Lost,Hyderabad,Tier 1
CUST00330,187,1,1328.95,4,1,2,7,New Customers,Delhi,Tier 1
CUST00331,309,4,8436.12,3,5,5,13,Potential Loyalists,Bengaluru,Tier 1
CUST00332,402,1,2610.74,2,1,3,6,Hibernating,Ahmedabad,Tier 1
CUST00333,260,1,904.33,3,1,1,5,Need Attention,Mumbai,Tier 1
CUST00334,62,2,2001.56,5,3,2,10,Loyal Customers,Mumbai,Tier 1
CUST00335,153,8,17068.07,4,5,5,14,Champions,Mumbai,Tier 1
CUST00336,29,2,3221.27,5,3,3,11,Loyal Customers,Mumbai,Tier 1
CUST00337,6,6,8599.8,5,5,5,15,Champions,Indore,Tier 2
CUST00338,240,2,2314.34,3,3,2,8,Potential Loyalists,Pune,Tier 1
CUST00339,331,6,6949.59,3,5,5,13,Potential Loyalists,Chennai,Tier 1
CUST00340,298,1,4802.78,3,1,4,8,Need Attention,Mumbai,Tier 1
CUST00341,387,2,5469.26,2,3,4,9,Hibernating,Chennai,Tier 1
CUST00342,535,1,2919.35,1,1,3,5,Hibernating,Chennai,Tier 1
CUST00343,582,1,1008.58,1,1,1,3,Lost,Delhi,Tier 1
CUST00344,628,1,618.38,1,1,1,3,Lost,Hyderabad,Tier 1
CUST00345,37,2,2055.24,5,3,2,10,Loyal Customers,Hyderabad,Tier 1
CUST00346,461,2,3486.94,2,3,3,8,Hibernating,Kolkata,Tier 1
CUST00347,107,3,6954.51,4,4,5,13,Champions,Kolkata,Tier 1
CUST00348,215,1,1887.7,3,1,2,6,Need Attention,Mumbai,Tier 1
CUST00349,399,4,4918.6900000000005,2,5,4,11,At Risk (High Value),Hyderabad,Tier 1
CUST00350,86,1,427.03,4,1,1,6,New Customers,Kolkata,Tier 1
CUST00351,526,2,4864.4400000000005,1,3,4,8,Hibernating,Chennai,Tier 1
CUST00352,505,3,4194.44,1,4,3,8,Hibernating,Indore,Tier 2
CUST00354,624,1,2113.57,1,1,2,4,Lost,Delhi,Tier 1
CUST00355,35,2,4797.17,5,3,4,12,Loyal Customers,Mumbai,Tier 1
CUST00356,561,2,4811.95,1,3,4,8,Hibernating,Pune,Tier 1
CUST00357,58,2,2217.23,5,3,2,10,Loyal Customers,Mumbai,Tier 1
CUST00358,328,5,7926.38,3,5,5,13,Potential Loyalists,Kolkata,Tier 1
CUST00359,323,3,3332.8900000000003,3,4,3,10,Potential Loyalists,Kanpur,Tier 2
CUST00362,663,1,984.48,1,1,1,3,Lost,Pune,Tier 1
CUST00363,235,3,7090.49,3,4,5,12,Potential Loyalists,Hyderabad,Tier 1
CUST00364,342,2,3658.41,2,3,3,8,Hibernating,Chennai,Tier 1
CUST00365,187,1,466.03,4,1,1,6,New Customers,Kanpur,Tier 2
CUST00366,219,1,595.19,3,1,1,5,Need Attention,Hyderabad,Tier 1
CUST00367,323,1,1744.47,3,1,2,6,Need Attention,Guwahati,Tier 3
CUST00369,264,2,2758.25,3,3,3,9,Potential Loyalists,Delhi,Tier 1
CUST00370,190,3,15141.039999999999,4,4,5,13,Champions,Mumbai,Tier 1
CUST00371,346,1,1052.08,2,1,1,4,Lost,Mumbai,Tier 1
CUST00373,299,4,7970.8,3,5,5,13,Potential Loyalists,Mumbai,Tier 1
CUST00374,80,1,727.1,4,1,1,6,New Customers,Pune,Tier 1
CUST00375,264,2,2800.3599999999997,3,3,3,9,Potential Loyalists,Mumbai,Tier 1
CUST00377,471,1,2655.22,2,1,3,6,Hibernating,Nagpur,Tier 2
CUST00379,261,1,1869.62,3,1,2,6,Need Attention,Surat,Tier 2
CUST00380,600,1,7389.14,1,1,5,7,Hibernating,Bengaluru,Tier 1
CUST00381,212,1,328.6,3,1,1,5,Need Attention,Mumbai,Tier 1
